mixture_path,vocals_path,drums_path,bass_path,other_path,duration
Datasets\Db1\Db_035\mixture.wav,Datasets\Db1\Db_035\vocals.wav,Datasets\Db1\Db_035\drums.wav,Datasets\Db1\Db_035\bass.wav,Datasets\Db1\Db_035\other.wav,231.42857142857144
Datasets\Db2\Db_207\mixture.wav,Datasets\Db2\Db_207\vocals.wav,Datasets\Db2\Db_207\drums.wav,Datasets\Db2\Db_207\bass.wav,Datasets\Db2\Db_207\other.wav,204.3356009070295
Datasets\Db2\Db_187\mixture.wav,Datasets\Db2\Db_187\vocals.wav,Datasets\Db2\Db_187\drums.wav,Datasets\Db2\Db_187\bass.wav,Datasets\Db2\Db_187\other.wav,194.9203401360544
Datasets\Db2\Db_097\mixture.wav,Datasets\Db2\Db_097\vocals.wav,Datasets\Db2\Db_097\drums.wav,Datasets\Db2\Db_097\bass.wav,Datasets\Db2\Db_097\other.wav,224.0
Datasets\Db4\Db_008\mixture.wav,Datasets\Db4\Db_008\vocals.wav,Datasets\Db4\Db_008\drums.wav,Datasets\Db4\Db_008\bass.wav,Datasets\Db4\Db_008\other.wav,169.2409977324263
Datasets\Db3\Db_091\mixture.wav,Datasets\Db3\Db_091\vocals.wav,Datasets\Db3\Db_091\drums.wav,Datasets\Db3\Db_091\bass.wav,Datasets\Db3\Db_091\other.wav,13.091156462585031
Datasets\Db4\Db_004\mixture.wav,Datasets\Db4\Db_004\vocals.wav,Datasets\Db4\Db_004\drums.wav,Datasets\Db4\Db_004\bass.wav,Datasets\Db4\Db_004\other.wav,174.58
Datasets\Db3\Db_102\mixture.wav,Datasets\Db3\Db_102\vocals.wav,Datasets\Db3\Db_102\drums.wav,Datasets\Db3\Db_102\bass.wav,Datasets\Db3\Db_102\other.wav,221.59820861678008
Datasets\Db1\Db_071\mixture.wav,Datasets\Db1\Db_071\vocals.wav,Datasets\Db1\Db_071\drums.wav,Datasets\Db1\Db_071\bass.wav,Datasets\Db1\Db_071\other.wav,331.02367346938775
Datasets\Db4\Db_008\mixture.wav,Datasets\Db4\Db_008\vocals.wav,Datasets\Db4\Db_008\drums.wav,Datasets\Db4\Db_008\bass.wav,Datasets\Db4\Db_008\other.wav,169.2409977324263
Datasets\Db2\Db_155\mixture.wav,Datasets\Db2\Db_155\vocals.wav,Datasets\Db2\Db_155\drums.wav,Datasets\Db2\Db_155\bass.wav,Datasets\Db2\Db_155\other.wav,71.44331065759637
Datasets\Db2\Db_129\mixture.wav,Datasets\Db2\Db_129\vocals.wav,Datasets\Db2\Db_129\drums.wav,Datasets\Db2\Db_129\bass.wav,Datasets\Db2\Db_129\other.wav,291.0344897959184
Datasets\Db3\Db_019\mixture.wav,Datasets\Db3\Db_019\vocals.wav,Datasets\Db3\Db_019\drums.wav,Datasets\Db3\Db_019\bass.wav,Datasets\Db3\Db_019\other.wav,220.1249886621316
Datasets\Db3\Db_074\mixture.wav,Datasets\Db3\Db_074\vocals.wav,Datasets\Db3\Db_074\drums.wav,Datasets\Db3\Db_074\bass.wav,Datasets\Db3\Db_074\other.wav,114.01655328798186
Datasets\Db4\Db_004\mixture.wav,Datasets\Db4\Db_004\vocals.wav,Datasets\Db4\Db_004\drums.wav,Datasets\Db4\Db_004\bass.wav,Datasets\Db4\Db_004\other.wav,174.58
Datasets\Db2\Db_224\mixture.wav,Datasets\Db2\Db_224\vocals.wav,Datasets\Db2\Db_224\drums.wav,Datasets\Db2\Db_224\bass.wav,Datasets\Db2\Db_224\other.wav,206.57895691609977
Datasets\Db4\Db_008\mixture.wav,Datasets\Db4\Db_008\vocals.wav,Datasets\Db4\Db_008\drums.wav,Datasets\Db4\Db_008\bass.wav,Datasets\Db4\Db_008\other.wav,169.2409977324263
Datasets\Db4\Db_000\mixture.wav,Datasets\Db4\Db_000\vocals.wav,Datasets\Db4\Db_000\drums.wav,Datasets\Db4\Db_000\bass.wav,Datasets\Db4\Db_000\other.wav,193.28598639455785
Datasets\Db2\Db_085\mixture.wav,Datasets\Db2\Db_085\vocals.wav,Datasets\Db2\Db_085\drums.wav,Datasets\Db2\Db_085\bass.wav,Datasets\Db2\Db_085\other.wav,223.7931065759637
Datasets\Db2\Db_109\mixture.wav,Datasets\Db2\Db_109\vocals.wav,Datasets\Db2\Db_109\drums.wav,Datasets\Db2\Db_109\bass.wav,Datasets\Db2\Db_109\other.wav,287.5
Datasets\Db3\Db_026\mixture.wav,Datasets\Db3\Db_026\vocals.wav,Datasets\Db3\Db_026\drums.wav,Datasets\Db3\Db_026\bass.wav,Datasets\Db3\Db_026\other.wav,250.21875283446715
Datasets\Db1\Db_025\mixture.wav,Datasets\Db1\Db_025\vocals.wav,Datasets\Db1\Db_025\drums.wav,Datasets\Db1\Db_025\bass.wav,Datasets\Db1\Db_025\other.wav,108.8853514739229
Datasets\Db3\Db_001\mixture.wav,Datasets\Db3\Db_001\vocals.wav,Datasets\Db3\Db_001\drums.wav,Datasets\Db3\Db_001\bass.wav,Datasets\Db3\Db_001\other.wav,210.1057596371882
Datasets\Db2\Db_054\mixture.wav,Datasets\Db2\Db_054\vocals.wav,Datasets\Db2\Db_054\drums.wav,Datasets\Db2\Db_054\bass.wav,Datasets\Db2\Db_054\other.wav,228.0
Datasets\Db4\Db_001\mixture.wav,Datasets\Db4\Db_001\vocals.wav,Datasets\Db4\Db_001\drums.wav,Datasets\Db4\Db_001\bass.wav,Datasets\Db4\Db_001\other.wav,460.3279818594104
Datasets\Db4\Db_007\mixture.wav,Datasets\Db4\Db_007\vocals.wav,Datasets\Db4\Db_007\drums.wav,Datasets\Db4\Db_007\bass.wav,Datasets\Db4\Db_007\other.wav,152.45897959183674
Datasets\Db1\Db_023\mixture.wav,Datasets\Db1\Db_023\vocals.wav,Datasets\Db1\Db_023\drums.wav,Datasets\Db1\Db_023\bass.wav,Datasets\Db1\Db_023\other.wav,475.0
Datasets\Db3\Db_022\mixture.wav,Datasets\Db3\Db_022\vocals.wav,Datasets\Db3\Db_022\drums.wav,Datasets\Db3\Db_022\bass.wav,Datasets\Db3\Db_022\other.wav,230.93303854875285
Datasets\Db1\Db_072\mixture.wav,Datasets\Db1\Db_072\vocals.wav,Datasets\Db1\Db_072\drums.wav,Datasets\Db1\Db_072\bass.wav,Datasets\Db1\Db_072\other.wav,253.5326984126984
Datasets\Db4\Db_008\mixture.wav,Datasets\Db4\Db_008\vocals.wav,Datasets\Db4\Db_008\drums.wav,Datasets\Db4\Db_008\bass.wav,Datasets\Db4\Db_008\other.wav,169.2409977324263
Datasets\Db2\Db_068\mixture.wav,Datasets\Db2\Db_068\vocals.wav,Datasets\Db2\Db_068\drums.wav,Datasets\Db2\Db_068\bass.wav,Datasets\Db2\Db_068\other.wav,208.0
Datasets\Db2\Db_238\mixture.wav,Datasets\Db2\Db_238\vocals.wav,Datasets\Db2\Db_238\drums.wav,Datasets\Db2\Db_238\bass.wav,Datasets\Db2\Db_238\other.wav,219.0
Datasets\Db4\Db_000\mixture.wav,Datasets\Db4\Db_000\vocals.wav,Datasets\Db4\Db_000\drums.wav,Datasets\Db4\Db_000\bass.wav,Datasets\Db4\Db_000\other.wav,193.28598639455785
Datasets\Db1\Db_043\mixture.wav,Datasets\Db1\Db_043\vocals.wav,Datasets\Db1\Db_043\drums.wav,Datasets\Db1\Db_043\bass.wav,Datasets\Db1\Db_043\other.wav,385.7351700680272
